station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
方南町,6.46,8.45,11.54,14.48,10.82,11.82,17.47,,,,,
三ノ輪,7.42,8.30,9.76,13.39,9.96,10.38,15.87,,,19.77,,
入谷,7.96,9.31,10.46,14.73,10.38,10.15,18.43,,,22.53,,
仲御徒町,9.92,10.45,13.99,16.09,,18.64,24.39,,,,,
小伝馬町,11.56,9.66,14.57,17.60,,,23.87,,,34.03,,
人形町,10.51,9.72,14.04,18.68,14.28,17.25,23.98,,,32.02,,
築地,11.06,10.23,13.43,17.81,14.13,17.35,27.28,,,32.66,,
東銀座,12.05,11.47,14.47,19.60,,,28.26,,,,,
日比谷,,,,,,,,,,,,
虎ノ門ヒルズ,13.15,11.52,,,,,28.00,,,,,
神谷町,13.57,12.67,16.18,31.80,,,49.62,,,91.37,,
六本木,13.36,12.69,15.56,25.00,,16.59,40.10,,,72.80,,
広尾,12.25,11.50,14.12,22.62,,,37.65,,,41.85,,
中目黒,10.96,12.21,13.82,22.39,,16.40,31.99,,,32.50,,
北綾瀬,5.34,7.02,7.28,8.70,7.39,8.62,10.27,,9.28,,,
町屋,6.36,7.24,8.25,11.97,9.16,10.86,13.25,,,,,
千駄木,7.46,8.24,9.18,15.60,8.79,11.87,21.92,,,25.30,,
根津,7.94,9.13,11.26,15.38,,11.72,21.11,,,,,
